"GO.ID","Term_full","Ontology","Annotated","Significant","Expected","PValue","Gene_IDs","Gene_symbols","Algorithm","PValue_FDR"
"GO:0048193","Golgi vesicle transport","BP",58,2,0.33,0.0438792939940807,"ENSCHAG00000003909, ENSCHAG00000022133","COG5, sec16b","classic",1
"GO:0050817",NA,"BP",58,2,0.33,0.0438792939940807,"ENSCHAG00000003517, ENSCHAG00000003862","F13A1, ENSCHAG00000003862","classic",1
"GO:0055086",NA,"BP",232,4,1.34,0.0444507154940699,"ENSCHAG00000002578, ENSCHAG00000008180, ENSCHAG00000012097, ENSCHAG00000021596","gmpr, si:dkey-145c18.3, atp5mc1, pfas","classic",1
"GO:0006903",NA,"BP",8,1,0.05,0.0451405277045036,"ENSCHAG00000022133","sec16b","classic",1
"GO:0048382","mesendoderm development","BP",8,1,0.05,0.0451405277045036,"ENSCHAG00000000664","rasl11b","classic",1
"GO:0009260",NA,"BP",61,2,0.35,0.0480500142164571,"ENSCHAG00000012097, ENSCHAG00000021596","atp5mc1, pfas","classic",1
"GO:0046390",NA,"BP",61,2,0.35,0.0480500142164571,"ENSCHAG00000012097, ENSCHAG00000021596","atp5mc1, pfas","classic",1
"GO:0050878",NA,"BP",61,2,0.35,0.0480500142164571,"ENSCHAG00000003517, ENSCHAG00000003862","F13A1, ENSCHAG00000003862","classic",1
"GO:0042060","wound healing","BP",62,2,0.36,0.0494713664252093,"ENSCHAG00000003517, ENSCHAG00000003862","F13A1, ENSCHAG00000003862","classic",1
"GO:0009084",NA,"BP",9,1,0.05,0.0506400192065922,"ENSCHAG00000022196","glula","classic",1
"GO:0006914","autophagy","BP",64,2,0.37,0.0523594281974798,"ENSCHAG00000012664, ENSCHAG00000022133","nr1d1, sec16b","classic",1
"GO:0061919",NA,"BP",64,2,0.37,0.0523594281974798,"ENSCHAG00000012664, ENSCHAG00000022133","nr1d1, sec16b","classic",1
"GO:0051726","regulation of cell cycle","BP",149,3,0.86,0.0543868242286101,"ENSCHAG00000000936, ENSCHAG00000012653, ENSCHAG00000022129","zmp:0000000711, si:dkey-225f5.4, gadd45ab","classic",1
"GO:0007498","mesoderm development","BP",66,2,0.38,0.0553065356646423,"ENSCHAG00000000664, ENSCHAG00000004711","rasl11b, gpr22a","classic",1
"GO:0016579","protein deubiquitination","BP",66,2,0.38,0.0553065356646423,"ENSCHAG00000003267, ENSCHAG00000025013","usp18, usp46","classic",1
"GO:0007031","peroxisome organization","BP",10,1,0.06,0.0561083065787692,"ENSCHAG00000003243","pex26","classic",1
"GO:0007606","sensory perception of chemical stimulus","BP",10,1,0.06,0.0561083065787692,"ENSCHAG00000013260","cd36","classic",1
