"Ontology","GO.ID","Term_full","P_weight01","Significant","Annotated","Expected","Gene_symbols","P_classic","FDR_classic"
"BP","GO:0042541",NA,NA,NA,NA,NA,NA,0.061545564205733,1
"BP","GO:0051607",NA,NA,NA,NA,NA,NA,0.061545564205733,1
"BP","GO:0071478",NA,NA,NA,NA,NA,NA,0.061545564205733,1
"BP","GO:0070646",NA,NA,NA,NA,NA,NA,0.0644853784255141,1
"BP","GO:0072521",NA,NA,NA,NA,NA,NA,0.065508246841857,1
"BP","GO:0019359",NA,NA,NA,NA,NA,NA,0.0669519655125446,1
"BP","GO:0019363",NA,NA,NA,NA,NA,NA,0.0669519655125446,1
"BP","GO:0032922",NA,NA,NA,NA,NA,NA,0.0669519655125446,1
"BP","GO:0048545",NA,NA,NA,NA,NA,NA,0.0669519655125446,1
"BP","GO:0071214",NA,NA,NA,NA,NA,NA,0.0669519655125446,1
"BP","GO:0104004",NA,NA,NA,NA,NA,NA,0.0669519655125446,1
"BP","GO:0009725",NA,NA,NA,NA,NA,NA,0.0676520630351029,1
"BP","GO:0010564",NA,NA,NA,NA,NA,NA,0.0676520630351029,1
"BP","GO:0065007",NA,NA,NA,NA,NA,NA,0.0683337677824298,1
"BP","GO:0001508",NA,NA,NA,NA,NA,NA,0.0723276829698203,1
"BP","GO:0006779",NA,NA,NA,NA,NA,NA,0.0723276829698203,1
"BP","GO:0007622",NA,NA,NA,NA,NA,NA,0.0723276829698203,1
"BP","GO:0019674",NA,NA,NA,NA,NA,NA,0.0723276829698203,1
"BP","GO:0021872",NA,NA,NA,NA,NA,NA,0.0723276829698203,1
"BP","GO:0021879",NA,NA,NA,NA,NA,NA,0.0723276829698203,1
"BP","GO:0048512",NA,NA,NA,NA,NA,NA,0.0723276829698203,1
"BP","GO:0071910",NA,NA,NA,NA,NA,NA,0.0723276829698203,1
"BP","GO:0007049",NA,NA,NA,NA,NA,NA,0.0743586317152462,1
"BP","GO:0009156",NA,NA,NA,NA,NA,NA,0.077672888098907,1
"BP","GO:0009161",NA,NA,NA,NA,NA,NA,0.077672888098907,1
"BP","GO:0050795",NA,NA,NA,NA,NA,NA,0.077672888098907,1
"BP","GO:0051016",NA,NA,NA,NA,NA,NA,0.077672888098907,1
"BP","GO:0006793",NA,NA,NA,NA,NA,NA,0.077755245059262,1
"BP","GO:0006796",NA,NA,NA,NA,NA,NA,0.077755245059262,1
"BP","GO:0019637",NA,NA,NA,NA,NA,NA,0.0786224572425396,1
"BP","GO:0000077",NA,NA,NA,NA,NA,NA,0.0829877514770249,1
"BP","GO:0003140",NA,NA,NA,NA,NA,NA,0.0829877514770249,1
"BP","GO:0060788",NA,NA,NA,NA,NA,NA,0.0829877514770249,1
"BP","GO:0006754",NA,NA,NA,NA,NA,NA,0.0882724427423819,1
"BP","GO:0009124",NA,NA,NA,NA,NA,NA,0.0882724427423819,1
"BP","GO:0015986",NA,NA,NA,NA,NA,NA,0.0882724427423819,1
"BP","GO:0048015",NA,NA,NA,NA,NA,NA,0.0882724427423819,1
"BP","GO:0048368",NA,NA,NA,NA,NA,NA,0.0882724427423819,1
"BP","GO:0072525",NA,NA,NA,NA,NA,NA,0.0882724427423819,1
"BP","GO:0022402",NA,NA,NA,NA,NA,NA,0.0928325945586221,1
"BP","GO:0009123",NA,NA,NA,NA,NA,NA,0.0935271305992648,1
"BP","GO:0031570",NA,NA,NA,NA,NA,NA,0.0935271305992648,1
"BP","GO:0033014",NA,NA,NA,NA,NA,NA,0.0935271305992648,1
"BP","GO:0009611",NA,NA,NA,NA,NA,NA,0.0982626114913735,1
"BP","GO:0030593",NA,NA,NA,NA,NA,NA,0.0987519828230988,1
"BP","GO:0071697",NA,NA,NA,NA,NA,NA,0.0987519828230988,1
