name_in_vcf	id	sampling_location	region	longitude	latitude	collection_season	species	order_in_vcf	order_in_admixture
F4XQgb402_Canada_Atlantic_Autumn	F4XQgb402_Canada_Atlantic_Autumn	German_Banks	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	37	31
F4XQgb408_Canada_Atlantic_Autumn	F4XQgb408_Canada_Atlantic_Autumn	German_Banks	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	38	32
F5	F5_HastKar_Baltic_Spring	HastKar	Baltic_Sea	60.532414	17.739702	Spring	C.harengus	39	121
F6	F6_HastKar_Baltic_Spring	HastKar	Baltic_Sea	60.532414	17.739702	Spring	C.harengus	40	122
Fehmarn3_Fehmarn_Baltic_Autumn	Fehmarn3_Fehmarn_Baltic_Autumn	Fehmarn	Baltic_Sea	54.470054	11.132927	Autumn	C.harengus	41	106
Fehmarn44_Fehmarn_Baltic_Autumn	Fehmarn44_Fehmarn_Baltic_Autumn	Fehmarn	Baltic_Sea	54.470054	11.132927	Autumn	C.harengus	42	107
Fehmarn6_Fehmarn_Baltic_Autumn	Fehmarn6_Fehmarn_Baltic_Autumn	Fehmarn	Baltic_Sea	54.470054	11.132927	Autumn	C.harengus	43	108
Gavle100_Gavle_Baltic_Autumn	Gavle100_Gavle_Baltic_Autumn	Gävle	Baltic_Sea	60.68293	17.178326	Autumn	C.harengus	44	123
Gavle54_Gavle_Baltic_Autumn	Gavle54_Gavle_Baltic_Autumn	Gävle	Baltic_Sea	60.68293	17.178326	Autumn	C.harengus	45	124
Gavle98_Gavle_Baltic_Autumn	Gavle98_Gavle_Baltic_Autumn	Gävle	Baltic_Sea	60.68293	17.178326	Autumn	C.harengus	46	125
HWS11_Japan_SeaofJapan	HWS11_Japan_SeaofJapan	Sea_of_Japan.Sakhalin	Northwest_Pacific_Ocean	48.4	141.94	NA	C.pallasii	47	11
HWS12_Japan_SeaofJapan	HWS12_Japan_SeaofJapan	Sea_of_Japan.Sakhalin	Northwest_Pacific_Ocean	48.4	141.94	NA	C.pallasii	48	12
HWS13_Japan_SeaofJapan	HWS13_Japan_SeaofJapan	Sea_of_Japan.Sakhalin	Northwest_Pacific_Ocean	48.4	141.94	NA	C.pallasii	49	13
HWS14_Japan_SeaofJapan	HWS14_Japan_SeaofJapan	Sea_of_Japan.Sakhalin	Northwest_Pacific_Ocean	48.4	141.94	NA	C.pallasii	50	14
HWS21_PechoraSea_BarentsSea	HWS21_PechoraSea_BarentsSea	Pechora_Sea	Arctic_basin_(Europe)	67.78	45.99	NA	C.pallasii	51	15
HWS22_PechoraSea_BarentsSea	HWS22_PechoraSea_BarentsSea	Pechora_Sea	Arctic_basin_(Europe)	67.78	45.99	NA	C.pallasii	52	16
HWS23_PechoraSea_BarentsSea	HWS23_PechoraSea_BarentsSea	Pechora_Sea	Arctic_basin_(Europe)	67.78	45.99	NA	C.pallasii	53	17
HWS24_PechoraSea_BarentsSea	HWS24_PechoraSea_BarentsSea	Pechora_Sea	Arctic_basin_(Europe)	67.78	45.99	NA	C.pallasii	54	18
HWS31_WhiteSea_WhiteSea	HWS31_WhiteSea_WhiteSea	Onega_Bay.White_Sea	Arctic_basin_(Europe)	64.00	37.90	Summer	C.pallasii	55	19
HWS32_WhiteSea_WhiteSea	HWS32_WhiteSea_WhiteSea	Onega_Bay.White_Sea	Arctic_basin_(Europe)	64.00	37.90	Summer	C.pallasii	56	20
HWS33_WhiteSea_WhiteSea	HWS33_WhiteSea_WhiteSea	Onega_Bay.White_Sea	Arctic_basin_(Europe)	64.00	37.90	Summer	C.pallasii	57	21
HWS34_WhiteSea_WhiteSea	HWS34_WhiteSea_WhiteSea	Onega_Bay.White_Sea	Arctic_basin_(Europe)	64.00	37.90	Summer	C.pallasii	58	22
HWS41_KandalakshaBay_WhiteSea_Spring	HWS41_KandalakshaBay_WhiteSea_Spring	Kandalaksha_Bay.White_Sea	Arctic_basin_(Europe)	67.04	32.55	Spring	C.pallasii	59	23
HWS42_KandalakshaBay_WhiteSea_Spring	HWS42_KandalakshaBay_WhiteSea_Spring	Kandalaksha_Bay.White_Sea	Arctic_basin_(Europe)	67.04	32.55	Spring	C.pallasii	60	24
HWS43_KandalakshaBay_WhiteSea_Spring	HWS43_KandalakshaBay_WhiteSea_Spring	Kandalaksha_Bay.White_Sea	Arctic_basin_(Europe)	67.04	32.55	Spring	C.pallasii	61	25
HWS44_KandalakshaBay_WhiteSea_Spring	HWS44_KandalakshaBay_WhiteSea_Spring	Kandalaksha_Bay.White_Sea	Arctic_basin_(Europe)	67.04	32.55	Spring	C.pallasii	62	26
HWS51_KandalakshaBay_WhiteSea_Summer	HWS51_KandalakshaBay_WhiteSea_Summer	Kandalaksha_Bay.White_Sea	Arctic_basin_(Europe)	66.65	34.25	Summer	C.pallasii	63	27
HWS52_KandalakshaBay_WhiteSea_Summer	HWS52_KandalakshaBay_WhiteSea_Summer	Kandalaksha_Bay.White_Sea	Arctic_basin_(Europe)	66.65	34.25	Summer	C.pallasii	64	28
HWS53_KandalakshaBay_WhiteSea_Summer	HWS53_KandalakshaBay_WhiteSea_Summer	Kandalaksha_Bay.White_Sea	Arctic_basin_(Europe)	66.65	34.25	Summer	C.pallasii	65	29
HWS54_KandalakshaBay_WhiteSea_Summer	HWS54_KandalakshaBay_WhiteSea_Summer	Kandalaksha_Bay.White_Sea	Arctic_basin_(Europe)	66.65	34.25	Summer	C.pallasii	66	30
HWS61_Balsfjord_Atlantic	HWS61_Balsfjord_Atlantic	Balsfjord	Northeast_Atlantic__(Norwegian_Sea)	69.27	19.28	Spring	C.pallasii	67	1
HWS62_Balsfjord_Atlantic	HWS62_Balsfjord_Atlantic	Balsfjord	Northeast_Atlantic__(Norwegian_Sea)	69.27	19.28	Spring	C.pallasii	68	2
HWS63_Balsfjord_Atlantic	HWS63_Balsfjord_Atlantic	Balsfjord	Northeast_Atlantic__(Norwegian_Sea)	69.27	19.28	Spring	C.pallasii	69	3
HWS64_Balsfjord_Atlantic	HWS64_Balsfjord_Atlantic	Balsfjord	Northeast_Atlantic__(Norwegian_Sea)	69.27	19.28	Spring	C.pallasii	70	4
NSSH33_Norway_Atlantic_Spring	NSSH33_Norway_Atlantic_Spring	Norway	Northeast_Atlantic_Ocean	60.428352	4.758587	Spring	C.harengus	71	95
NSSH34_Norway_Atlantic_Spring	NSSH34_Norway_Atlantic_Spring	Norway	Northeast_Atlantic_Ocean	60.428352	4.758587	Spring	C.harengus	72	96
NSSH36_Norway_Atlantic_Spring	NSSH36_Norway_Atlantic_Spring	Norway	Northeast_Atlantic_Ocean	60.428352	4.758587	Spring	C.harengus	73	97
NorthSea13_NorthSea_Atlantic_Autumn	NorthSea13_NorthSea_Atlantic_Autumn	North_Sea	Northeast_Atlantic_Ocean	58.1	6.166667	Autumn	C.harengus	74	92
NorthSea19_NorthSea_Atlantic_Autumn	NorthSea19_NorthSea_Atlantic_Autumn	North_Sea	Northeast_Atlantic_Ocean	58.1	6.166667	Autumn	C.harengus	75	93
NorthSea34_NorthSea_Atlantic_Autumn	NorthSea34_NorthSea_Atlantic_Autumn	North_Sea	Northeast_Atlantic_Ocean	58.1	6.166667	Autumn	C.harengus	76	94
Pacific16_Vancouver_Pacific	Pacific16_Vancouver_Pacific	Vancouver.B.C.	Northwest_Pacific_Ocean	49.28326	-123.15296	NA	C.pallasii	77	5
Pacific30_Vancouver_Pacific	Pacific3_Vancouver_Pacific	Vancouver.B.C.	Northwest_Pacific_Ocean	49.28326	-123.15296	NA	C.pallasii	78	6
Pacific35_Vancouver_Pacific	Pacific30_Vancouver_Pacific	Vancouver.B.C.	Northwest_Pacific_Ocean	49.28326	-123.15296	NA	C.pallasii	79	7
Pacific3_Vancouver_Pacific	Pacific35_Vancouver_Pacific	Vancouver.B.C.	Northwest_Pacific_Ocean	49.28326	-123.15296	NA	C.pallasii	80	8
Pacific44_Vancouver_Pacific	Pacific44_Vancouver_Pacific	Vancouver.B.C.	Northwest_Pacific_Ocean	49.28326	-123.15296	NA	C.pallasii	81	9
Pacific5_Vancouver_Pacific	Pacific5_Vancouver_Pacific	Vancouver.B.C.	Northwest_Pacific_Ocean	49.28326	-123.15296	NA	C.pallasii	82	10
S3Ps246_Canada_Atlantic_Spring	S3Ps246_Canada_Atlantic_Spring	Fortune_Bay	Northwest_Atlantic_Ocean	47.283333	-55.633333	Spring	C.harengus	83	57
S3Ps259_Canada_Atlantic_Spring	S3Ps259_Canada_Atlantic_Spring	Fortune_Bay	Northwest_Atlantic_Ocean	47.283333	-55.633333	Spring	C.harengus	84	58
S4TH231_Canada_Atlantic_Spring	S4TH231_Canada_Atlantic_Spring	Northumberland_Strait	Northwest_Atlantic_Ocean	46.316667	-64.15	Spring	C.harengus	85	53
S4TH244_Canada_Atlantic_Spring	S4TH244_Canada_Atlantic_Spring	Northumberland_Strait	Northwest_Atlantic_Ocean	46.316667	-64.15	Spring	C.harengus	86	54
S4TM205_Canada_Atlantic_Spring	S4TM205_Canada_Atlantic_Spring	Inner_Baie_Des_Chaleurs	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	87	59
S4TM211_Canada_Atlantic_Spring	S4TM211_Canada_Atlantic_Spring	Inner_Baie_Des_Chaleurs	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	88	60
Z12_IsleofMan_Atlantic_Autumn	Z12_IsleofMan_Atlantic_Autumn	Isle_of_Man	Northeast_Atlantic_Ocean	54.155824	-4.300859	Autumn	C.harengus	89	89
Z14_IsleofMan_Atlantic_Autumn	Z14_IsleofMan_Atlantic_Autumn	Isle_of_Man	Northeast_Atlantic_Ocean	54.155824	-4.300859	Autumn	C.harengus	90	90
Z4_IsleofMan_Atlantic_Autumn	Z4_IsleofMan_Atlantic_Autumn	Isle_of_Man	Northeast_Atlantic_Ocean	54.155824	-4.300859	Autumn	C.harengus	91	91
i_7iA_1	12S4S7i22_Canada_Atlantic_Summer	NA	Northwest_Atlantic_Ocean	46.316667	-64.15	Summer	C.harengus	92	55
i_7iA_2	12S4S7i28_Canada_Atlantic_Summer	NA	Northwest_Atlantic_Ocean	46.316667	-64.15	Summer	C.harengus	93	56
i_BDOL_1	16SBDO106_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	94	61
i_BDOL_2	16SBDO107_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	95	62
i_Bla_1	144Sbs344_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	96	33
i_Bla_2	144Sbs349_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	97	34
i_FB_3	14S3Ps233_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	98	63
i_FB_4	14S3Ps265_Canada_Atlantic_Spring	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	99	64
i_Lab_1	15F2J602_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	100	35
i_Lab_2	15F2J606_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	101	36
i_Lab_3	15F2J603_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	102	37
i_Lab_4	15F2J616_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	103	38
i_M514_1	15F5Y514-617_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	104	39
i_M514_2	15F5Y514-620_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	105	40
i_Mir_1	14F4TL404_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	106	41
i_Mir_2	14F4TL415_Canada_Atlantic_Autumn	NA	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	107	42
