name_in_vcf	id	order_in_vcf	sampling_location	region	latitude	longitude	collection_season	species	order_in_admixture	correct_label	correct_label_2	bars_plot	color	order_in_admixture_bars
F5	F5_HastKar_Baltic_Spring	39	HastKar	Baltic_Sea	60.532414	17.739702	Spring	C.harengus	121	Baltic_Spring	Baltic_Spring	Baltic_Sea_Spring	#7570B3	124
F6	F6_HastKar_Baltic_Spring	40	HastKar	Baltic_Sea	60.532414	17.739702	Spring	C.harengus	122	Baltic_Spring	Baltic_Spring	Baltic_Sea_Spring	#7570B3	125
Fehmarn3_Fehmarn_Baltic_Autumn	Fehmarn3_Fehmarn_Baltic_Autumn	41	Fehmarn	Baltic_Sea	54.470054	11.132927	Autumn	C.harengus	106	Baltic_Autumn	Baltic_Autumn	Baltic_Sea_Autumn	#C5ACFF	106
Fehmarn44_Fehmarn_Baltic_Autumn	Fehmarn44_Fehmarn_Baltic_Autumn	42	Fehmarn	Baltic_Sea	54.470054	11.132927	Autumn	C.harengus	107	Baltic_Autumn	Baltic_Autumn	Baltic_Sea_Autumn	#C5ACFF	107
Fehmarn6_Fehmarn_Baltic_Autumn	Fehmarn6_Fehmarn_Baltic_Autumn	43	Fehmarn	Baltic_Sea	54.470054	11.132927	Autumn	C.harengus	108	Baltic_Autumn	Baltic_Autumn	Baltic_Sea_Autumn	#C5ACFF	108
Gavle100_Gavle_Baltic_Autumn	Gavle100_Gavle_Baltic_Autumn	44	Gävle	Baltic_Sea	60.68293	17.178326	Autumn	C.harengus	123	Baltic_Autumn	Baltic_Autumn	Baltic_Sea_Autumn	#C5ACFF	109
Gavle54_Gavle_Baltic_Autumn	Gavle54_Gavle_Baltic_Autumn	45	Gävle	Baltic_Sea	60.68293	17.178326	Autumn	C.harengus	124	Baltic_Autumn	Baltic_Autumn	Baltic_Sea_Autumn	#C5ACFF	110
Gavle98_Gavle_Baltic_Autumn	Gavle98_Gavle_Baltic_Autumn	46	Gävle	Baltic_Sea	60.68293	17.178326	Autumn	C.harengus	125	Baltic_Autumn	Baltic_Autumn	Baltic_Sea_Autumn	#C5ACFF	111
HWS11_Japan_SeaofJapan	HWS11_Japan_SeaofJapan	47	Sea_of_Japan.Sakhalin	Northwest_Pacific_Ocean	48.4	141.94	NA	C.pallasii	11	Japan	PacificOceanPacificHerring	Japan	#73888C	7
HWS12_Japan_SeaofJapan	HWS12_Japan_SeaofJapan	48	Sea_of_Japan.Sakhalin	Northwest_Pacific_Ocean	48.4	141.94	NA	C.pallasii	12	Japan	PacificOceanPacificHerring	Japan	#73888C	8
