name_in_vcf	id	order_in_vcf	sampling_location	region	latitude	longitude	collection_season	species	order_in_admixture	correct_label	correct_label_2	bars_plot	color	order_in_admixture_bars
Pacific44_Vancouver_Pacific	Pacific44_Vancouver_Pacific	81	Vancouver.B.C.	Northwest_Pacific_Ocean	49.28326	-123.15296	NA	C.pallasii	9	Vancouver	PacificOceanPacificHerring	Vancouver	#10345C	5
Pacific5_Vancouver_Pacific	Pacific5_Vancouver_Pacific	82	Vancouver.B.C.	Northwest_Pacific_Ocean	49.28326	-123.15296	NA	C.pallasii	10	Vancouver	PacificOceanPacificHerring	Vancouver	#10345C	6
S3Ps246_Canada_Atlantic_Spring	S3Ps246_Canada_Atlantic_Spring	83	Fortune_Bay	Northwest_Atlantic_Ocean	47.283333	-55.633333	Spring	C.harengus	57	Canada_Spring	Canada_Spring_Summer	Canada_Spring_Summer	#DF9A65	59
S3Ps259_Canada_Atlantic_Spring	S3Ps259_Canada_Atlantic_Spring	84	Fortune_Bay	Northwest_Atlantic_Ocean	47.283333	-55.633333	Spring	C.harengus	58	Canada_Spring	Canada_Spring_Summer	Canada_Spring_Summer	#DF9A65	60
S4TH231_Canada_Atlantic_Spring	S4TH231_Canada_Atlantic_Spring	85	Northumberland_Strait	Northwest_Atlantic_Ocean	46.316667	-64.15	Spring	C.harengus	53	Canada_Spring	Canada_Spring_Summer	Canada_Spring_Summer	#DF9A65	55
S4TH244_Canada_Atlantic_Spring	S4TH244_Canada_Atlantic_Spring	86	Northumberland_Strait	Northwest_Atlantic_Ocean	46.316667	-64.15	Spring	C.harengus	54	Canada_Spring	Canada_Spring_Summer	Canada_Spring_Summer	#DF9A65	56
S4TM205_Canada_Atlantic_Spring	S4TM205_Canada_Atlantic_Spring	87	Inner_Baie_Des_Chaleurs	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	59	Canada_Spring	Canada_Spring_Summer	Canada_Spring_Summer	#DF9A65	61
S4TM211_Canada_Atlantic_Spring	S4TM211_Canada_Atlantic_Spring	88	Inner_Baie_Des_Chaleurs	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	60	Canada_Spring	Canada_Spring_Summer	Canada_Spring_Summer	#DF9A65	62
Z12_IsleofMan_Atlantic_Autumn	Z12_IsleofMan_Atlantic_Autumn	89	Isle_of_Man	Northeast_Atlantic_Ocean	54.155824	-4.300859	Autumn	C.harengus	89	Ireland_Britain	Ireland_Britain	Britain_Ireland_NorthSea	#72FEFF	89
Z14_IsleofMan_Atlantic_Autumn	Z14_IsleofMan_Atlantic_Autumn	90	Isle_of_Man	Northeast_Atlantic_Ocean	54.155824	-4.300859	Autumn	C.harengus	90	Ireland_Britain	Ireland_Britain	Britain_Ireland_NorthSea	#72FEFF	90
Z4_IsleofMan_Atlantic_Autumn	Z4_IsleofMan_Atlantic_Autumn	91	Isle_of_Man	Northeast_Atlantic_Ocean	54.155824	-4.300859	Autumn	C.harengus	91	Ireland_Britain	Ireland_Britain	Britain_Ireland_NorthSea	#72FEFF	91
