name_in_vcf	id	sampling_location	region	latitude	longitude	collection_season	species	order_in_vcf	order_in_admixture	correct_label	correct_label_2
HWS14_Japan_SeaofJapan	HWS14_Japan_SeaofJapan	Sea_of_Japan.Sakhalin	Northwest_Pacific_Ocean	48.4	141.94	NA	C.pallasii	50	14	Japan	PacificOceanPacificHerring
HWS21_PechoraSea_BarentsSea	HWS21_PechoraSea_BarentsSea	Pechora_Sea	Arctic_basin_(Europe)	67.78	45.99	NA	C.pallasii	51	15	Pechora_Sea	ArcticPacificHerring
HWS22_PechoraSea_BarentsSea	HWS22_PechoraSea_BarentsSea	Pechora_Sea	Arctic_basin_(Europe)	67.78	45.99	NA	C.pallasii	52	16	Pechora_Sea	ArcticPacificHerring
HWS23_PechoraSea_BarentsSea	HWS23_PechoraSea_BarentsSea	Pechora_Sea	Arctic_basin_(Europe)	67.78	45.99	NA	C.pallasii	53	17	Pechora_Sea	ArcticPacificHerring
HWS24_PechoraSea_BarentsSea	HWS24_PechoraSea_BarentsSea	Pechora_Sea	Arctic_basin_(Europe)	67.78	45.99	NA	C.pallasii	54	18	Pechora_Sea	ArcticPacificHerring
HWS31_WhiteSea_WhiteSea	HWS31_WhiteSea_WhiteSea	Onega_Bay.White_Sea	Arctic_basin_(Europe)	64	37.9	Summer	C.pallasii	55	19	White_Sea	ArcticPacificHerring
HWS32_WhiteSea_WhiteSea	HWS32_WhiteSea_WhiteSea	Onega_Bay.White_Sea	Arctic_basin_(Europe)	64	37.9	Summer	C.pallasii	56	20	White_Sea	ArcticPacificHerring
HWS33_WhiteSea_WhiteSea	HWS33_WhiteSea_WhiteSea	Onega_Bay.White_Sea	Arctic_basin_(Europe)	64	37.9	Summer	C.pallasii	57	21	White_Sea	ArcticPacificHerring
HWS34_WhiteSea_WhiteSea	HWS34_WhiteSea_WhiteSea	Onega_Bay.White_Sea	Arctic_basin_(Europe)	64	37.9	Summer	C.pallasii	58	22	White_Sea	ArcticPacificHerring
HWS41_KandalakshaBay_WhiteSea_Spring	HWS41_KandalakshaBay_WhiteSea_Spring	Kandalaksha_Bay.White_Sea	Arctic_basin_(Europe)	67.04	32.55	Spring	C.pallasii	59	23	White_Sea	ArcticPacificHerring
HWS42_KandalakshaBay_WhiteSea_Spring	HWS42_KandalakshaBay_WhiteSea_Spring	Kandalaksha_Bay.White_Sea	Arctic_basin_(Europe)	67.04	32.55	Spring	C.pallasii	60	24	White_Sea	ArcticPacificHerring
HWS43_KandalakshaBay_WhiteSea_Spring	HWS43_KandalakshaBay_WhiteSea_Spring	Kandalaksha_Bay.White_Sea	Arctic_basin_(Europe)	67.04	32.55	Spring	C.pallasii	61	25	White_Sea	ArcticPacificHerring
HWS44_KandalakshaBay_WhiteSea_Spring	HWS44_KandalakshaBay_WhiteSea_Spring	Kandalaksha_Bay.White_Sea	Arctic_basin_(Europe)	67.04	32.55	Spring	C.pallasii	62	26	White_Sea	ArcticPacificHerring
HWS51_KandalakshaBay_WhiteSea_Summer	HWS51_KandalakshaBay_WhiteSea_Summer	Kandalaksha_Bay.White_Sea	Arctic_basin_(Europe)	66.65	34.25	Summer	C.pallasii	63	27	White_Sea	ArcticPacificHerring
HWS52_KandalakshaBay_WhiteSea_Summer	HWS52_KandalakshaBay_WhiteSea_Summer	Kandalaksha_Bay.White_Sea	Arctic_basin_(Europe)	66.65	34.25	Summer	C.pallasii	64	28	White_Sea	ArcticPacificHerring
HWS53_KandalakshaBay_WhiteSea_Summer	HWS53_KandalakshaBay_WhiteSea_Summer	Kandalaksha_Bay.White_Sea	Arctic_basin_(Europe)	66.65	34.25	Summer	C.pallasii	65	29	White_Sea	ArcticPacificHerring
HWS54_KandalakshaBay_WhiteSea_Summer	HWS54_KandalakshaBay_WhiteSea_Summer	Kandalaksha_Bay.White_Sea	Arctic_basin_(Europe)	66.65	34.25	Summer	C.pallasii	66	30	White_Sea	ArcticPacificHerring
HWS61_Balsfjord_Atlantic	HWS61_Balsfjord_Atlantic	Balsfjord	Northeast_Atlantic__(Norwegian_Sea)	69.27	19.28	Spring	C.pallasii	67	1	Balsfjord	Balsfjord
HWS62_Balsfjord_Atlantic	HWS62_Balsfjord_Atlantic	Balsfjord	Northeast_Atlantic__(Norwegian_Sea)	69.27	19.28	Spring	C.pallasii	68	2	Balsfjord	Balsfjord
HWS63_Balsfjord_Atlantic	HWS63_Balsfjord_Atlantic	Balsfjord	Northeast_Atlantic__(Norwegian_Sea)	69.27	19.28	Spring	C.pallasii	69	3	Balsfjord	Balsfjord
