P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
BarentSea	WhiteSea	UK	0.111953	14.6075	0	0.0513899	293066	59764.6	47730.2
WhiteSea	BarentSea	Vancouver	0.0892186	15.2908	0	0.166296	118149	71381.1	59687.3
Canada_Autumn	Canada_Spring	Canada_Summer	0.00348917	3.90068	9.59233e-05	0.0248192	69499.4	65036.5	64584.3
Canada_Autumn	Canada_Spring	Japan	0.00221645	1.72829	0.083936	0.000628338	296954	43116	42925.3
Canada_Spring	Canada_Autumn	NorthSea	0.00647245	5.28053	1.28811e-07	0.0642416	65165.2	63336.1	62521.5
Canada_Autumn	Canada_Spring	Norway_Costal	0.00087991	1.06463	0.287045	0	66552.7	63213.6	63102.4
Canada_Spring	Canada_Autumn	Norway_Pelagic	0.0019621	1.58175	0.113707	0.0190959	64152.6	63368.5	63120.3
Canada_Spring	Canada_Autumn	UK	0.00334208	3.51581	0.00043842	0.152833	66530.6	63289.9	62868.2
Canada_Autumn	Canada_Spring	Vancouver	0.0010295	1.04028	0.298212	0.000329631	288864	42961.6	42873.2
Canada_Autumn	Canada_Spring	WhiteSea	0.0029604	2.52647	0.0115216	0.00115769	268695	46156	45883.5
Canada_Summer	Canada_Autumn	Japan	0.00934559	4.89478	9.84166e-07	0.00281954	294764	46209.7	45354
NorthSea	Canada_Autumn	Canada_Summer	0.0174153	6.54152	6.08971e-11	0.11279	69485.1	66384.2	64111.6
Norway_Costal	Canada_Autumn	Canada_Summer	0.0195228	9.5413	0	0.125036	69107.3	67621.9	65032.1
Norway_Pelagic	Canada_Autumn	Canada_Summer	0.00360377	2.69261	0.00708954	0.0250979	69438.3	65322.7	64853.6
UK	Canada_Autumn	Canada_Summer	0.0218517	8.10021	5.48606e-16	0.136772	69281.4	67590.8	64700
Canada_Summer	Canada_Autumn	Vancouver	0.012272	7.5534	4.24026e-14	0.00417084	286731	46225.6	45104.8
Canada_Summer	Canada_Autumn	WhiteSea	0.0117035	7.1461	8.92785e-13	0.00485419	266942	49537.2	48391.1
Canada_Autumn	NorthSea	Japan	0.00182027	1.01281	0.31115	0.000520599	295019	43362.9	43205.4
Canada_Autumn	Norway_Costal	Japan	0.0204502	5.22296	1.76087e-07	0.00600168	293728	45366	43547.7
Canada_Autumn	Norway_Pelagic	Japan	0.00123506	0.720067	0.471484	0.00035589	294819	43339.7	43232.8
Canada_Autumn	UK	Japan	0.000917307	0.844905	0.398164	0.000265717	294689	43977.3	43896.7
Japan	Vancouver	Canada_Autumn	0.100103	19.0356	0	0.0313393	269907	43803.1	35831.5
Japan	WhiteSea	Canada_Autumn	0.315029	37.2426	0	0.123158	298642	65455.9	34094.7
NorthSea	Canada_Autumn	Norway_Costal	0.00935167	4.64043	3.4768e-06	5.05361	65952.9	64341.5	63149.3
Norway_Pelagic	Canada_Autumn	NorthSea	0.00868201	5.67654	1.37448e-08	0.0829487	64812.4	63805.5	62707.2
UK	NorthSea	Canada_Autumn	0.0110472	6.66074	2.72452e-11	0.363819	65053.9	64244.1	62840.1
Canada_Autumn	NorthSea	Vancouver	0.000373068	0.220882	0.825184	0.000120417	286963	43214.5	43182.3
NorthSea	Canada_Autumn	WhiteSea	0.00296612	1.70561	0.088081	0.00116769	267081	46432.3	46157.7
Norway_Pelagic	Canada_Autumn	Norway_Costal	0.00275186	2.04961	0.0404021	0	66301.2	63680.9	63331.4
UK	Canada_Autumn	Norway_Costal	0.0149912	7.55688	4.12847e-14	1.77241	65782.7	65568.8	63632
Canada_Autumn	Norway_Costal	Vancouver	0.0141136	4.66206	3.13062e-06	0.00466362	285764	44846.8	43598.5
Canada_Autumn	Norway_Costal	WhiteSea	0.0159047	5.39683	6.78292e-08	0.0064352	265780	48284.6	46772.8
Norway_Pelagic	Canada_Autumn	UK	0.00697775	5.57378	2.49271e-08	0.27482	66265	63867.8	62982.7
Norway_Pelagic	Canada_Autumn	Vancouver	0.000738615	0.428457	0.668318	0.000240123	286804	43222.1	43158.3
Canada_Autumn	Norway_Pelagic	WhiteSea	0.00146835	0.984923	0.324662	0.000583071	266786	46351.7	46215.8
UK	Canada_Autumn	Vancouver	0.000476951	0.462498	0.643725	0.000156041	286633	43875.4	43833.6
UK	Canada_Autumn	WhiteSea	0.00416737	3.0295	0.0024496	0.00166128	266754	47185.5	46793.9
Vancouver	WhiteSea	Canada_Autumn	0.203524	27.3824	0	0.0949967	243362	69262.2	45836.8
Canada_Summer	Canada_Spring	Japan	0.0114042	7.08826	1.35809e-12	0.00343116	295027	46206.9	45164.8
NorthSea	Canada_Spring	Canada_Summer	0.020749	7.39992	1.36268e-13	0.13219	68823.8	66989.6	64266.2
Norway_Costal	Canada_Spring	Canada_Summer	0.0229222	10.9206	0	0.143532	69009	67867.9	64826.3
Norway_Pelagic	Canada_Spring	Canada_Summer	0.00703491	5.72582	1.02937e-08	0.0497287	69090.3	65673.1	64755.6
UK	Canada_Spring	Canada_Summer	0.0251774	8.80869	1.30104e-18	0.158975	68878.6	68064.9	64721.7
Canada_Summer	Canada_Spring	Vancouver	0.0132405	9.15509	1.0842e-19	0.0044902	287037	46166.2	44959.6
Canada_Summer	Canada_Spring	WhiteSea	0.014479	10.2167	0	0.0059931	267153	49564.2	48149.4
NorthSea	Canada_Spring	Japan	0.00037116	0.192364	0.847457	0.000106724	294343	43528.6	43496.3
Canada_Spring	Norway_Costal	Japan	0.0182854	4.92395	8.48165e-07	0.0053747	293764	45288.9	43662.4
Norway_Pelagic	Canada_Spring	Japan	0.000882315	0.425829	0.670233	0.000254676	294581	43423.5	43346.9
UK	Canada_Spring	Japan	0.00124906	0.919436	0.357868	0.000362689	294311	44127.5	44017.4
Japan	Vancouver	Canada_Spring	0.0987432	18.3181	0	0.0310459	269814	43801	35928.2
Japan	WhiteSea	Canada_Spring	0.315531	37.2958	0	0.123876	298464	65554.6	34107.9
NorthSea	Canada_Spring	Norway_Costal	0.010188	4.63139	3.6322e-06	4.53329	65431.1	64747.1	63441.1
Norway_Pelagic	Canada_Spring	NorthSea	0.00224837	1.55376	0.120241	0.0213629	65010.5	63437.4	63152.7
UK	NorthSea	Canada_Spring	0.00792772	5.80822	6.31397e-09	0.273957	65570.8	63946.4	62940.5
NorthSea	Canada_Spring	Vancouver	0.000638716	0.352834	0.724213	0.000207189	286312	43429.4	43373.9
NorthSea	Canada_Spring	WhiteSea	0.00586069	2.8814	0.00395918	0.00232084	266397	46833.9	46288.2
Norway_Pelagic	Canada_Spring	Norway_Costal	0.00359146	2.90742	0.00364423	0	66085.9	63820.6	63363.8
Norway_Costal	Canada_Spring	UK	0.0133744	7.03586	1.98043e-12	0.386365	65839.8	65521.2	63791.7
Canada_Spring	Norway_Costal	Vancouver	0.0131104	4.66764	3.04682e-06	0.00433308	285826	44799.1	43639.6
Canada_Spring	Norway_Costal	WhiteSea	0.0130214	4.60157	4.19315e-06	0.00527689	265774	48167.6	46929.3
Norway_Pelagic	Canada_Spring	UK	0.00364321	2.87739	0.00400979	0.143603	66275.5	63703.6	63241.2
Norway_Pelagic	Canada_Spring	Vancouver	0.00169556	0.925683	0.354611	0.000552118	286586	43334.1	43187.4
Norway_Pelagic	Canada_Spring	WhiteSea	0.00140361	0.785073	0.432411	0.000558906	266508	46451.5	46321.3
UK	Canada_Spring	Vancouver	0.00148075	1.21768	0.223347	0.000485434	286274	44026	43895.8
UK	Canada_Spring	WhiteSea	0.00704206	4.23985	2.23672e-05	0.00281701	266360	47484.8	46820.7
Vancouver	WhiteSea	Canada_Spring	0.204878	27.5645	0	0.0959985	243246	69416.4	45809.2
Canada_Summer	NorthSea	Japan	0.0110282	4.57133	4.84647e-06	0.00335649	292407	46668.5	45650.4
Canada_Summer	Norway_Costal	Japan	0.0284683	7.28787	3.14889e-13	0.00883484	292107	48361.7	45684.4
Canada_Summer	Norway_Pelagic	Japan	0.0105217	4.40636	1.05124e-05	0.00321362	292784	46437.7	45470.6
Canada_Summer	UK	Japan	0.0100367	5.52887	3.22293e-08	0.00308041	292669	47082	46146.3
Japan	Vancouver	Canada_Summer	0.096284	16.4683	0	0.0289147	270673	43954.6	36233.7
Japan	WhiteSea	Canada_Summer	0.309693	32.5725	0	0.11571	299453	65544.2	34546.8
Norway_Costal	NorthSea	Canada_Summer	0.00228917	0.728951	0.466031	0.0147367	69268.3	66682.7	66378.1
NorthSea	Norway_Pelagic	Canada_Summer	0.013409	4.15592	3.23979e-05	0.0886773	69024.5	66525	64764.5
UK	NorthSea	Canada_Summer	0.0046701	3.36341	0.000769861	0.0287827	71377.2	65190.7	64584.7
Canada_Summer	NorthSea	Vancouver	0.0125873	6.22945	4.68083e-10	0.00432345	284429	46616.5	45457.5
Canada_Summer	NorthSea	WhiteSea	0.00894499	3.82665	0.0001299	0.0037488	264882	49815.9	48932.6
Norway_Costal	Norway_Pelagic	Canada_Summer	0.0157075	6.49063	8.54786e-11	0.100595	69111.8	67481.4	65394.2
UK	Norway_Costal	Canada_Summer	0.00221986	0.707211	0.479435	0.0140744	69488	67345.7	67047.4
Canada_Summer	Norway_Costal	Vancouver	0.025402	8.25173	1.56125e-16	0.00885605	284231	47944.2	45568.8
Canada_Summer	Norway_Costal	WhiteSea	0.0264939	8.57409	9.97466e-18	0.0113011	264535	51588.6	48925.5
UK	Norway_Pelagic	Canada_Summer	0.0178378	5.84172	5.16653e-09	0.113936	68970.2	67656.5	65285.1
Canada_Summer	Norway_Pelagic	Vancouver	0.0116221	5.415	6.1289e-08	0.00400127	284853	46356.8	45291.7
Canada_Summer	Norway_Pelagic	WhiteSea	0.0130584	6.29598	3.05458e-10	0.00548647	265134	49765.9	48482.9
Canada_Summer	UK	Vancouver	0.0116089	6.90103	5.16275e-12	0.00401757	284694	47032.8	45953.4
Canada_Summer	UK	WhiteSea	0.00759688	3.73703	0.000186208	0.00320893	265142	50240.6	49483
Vancouver	WhiteSea	Canada_Summer	0.201503	24.6141	0	0.0895796	244403	69504.8	46191.6
NorthSea	Norway_Costal	Japan	0.0185151	4.19772	2.69619e-05	0.00546458	292191	45381	43731.1
Norway_Pelagic	NorthSea	Japan	0.000557163	0.231877	0.816633	0.000161999	292574	43616.9	43568.4
UK	NorthSea	Japan	0.000884502	0.501539	0.615991	0.000253031	295793	43326.4	43249.9
Japan	Vancouver	NorthSea	0.099141	16.8098	0	0.0298474	269147	43519.1	35668.4
Japan	WhiteSea	NorthSea	0.312323	32.7994	0	0.117133	297890	64873.4	33994.6
Norway_Pelagic	Norway_Costal	Japan	0.0190593	4.08755	4.35953e-05	0.00567244	291911	45487.8	43786.3
UK	Norway_Costal	Japan	0.0192598	5.02358	5.07182e-07	0.00573688	292363	45934.2	44198.3
Japan	Vancouver	Norway_Costal	0.092247	17.3763	0	0.0298969	268242	43759.5	36368
Japan	WhiteSea	Norway_Costal	0.310577	35.948	0	0.125298	296683	65427.8	34418
UK	Norway_Pelagic	Japan	0.000267851	0.145214	0.884542	7.88096e-05	292424	44220.8	44197.2
Japan	Vancouver	Norway_Pelagic	0.0980329	16.5543	0	0.0294508	267579	43513.2	35743.4
Japan	WhiteSea	Norway_Pelagic	0.314769	33.049	0	0.118219	295935	65143.5	33951.5
Japan	Vancouver	UK	0.0986424	18.3332	0	0.0310813	269886	43744	35888.8
Japan	WhiteSea	UK	0.310755	36.2725	0	0.122092	298724	65150.4	34258.6
WhiteSea	Japan	Vancouver	0.222989	37.3838	0	0.408904	108879	78836.3	50087.7
NorthSea	Norway_Pelagic	Norway_Costal	0.00640953	2.48781	0.0128533	3.68007	65460	64603.5	63780.6
UK	NorthSea	Norway_Costal	0.00581837	4.38979	1.13461e-05	0.651618	67446.1	63834.2	63095.7
NorthSea	Norway_Costal	Vancouver	0.0136368	4.00356	6.23975e-05	0.00452584	284290	44924.8	43716
NorthSea	Norway_Costal	WhiteSea	0.0186537	5.39469	6.86406e-08	0.00757149	264525	48532	46754.6
UK	NorthSea	Norway_Pelagic	0.00923138	5.45556	4.88186e-08	0.0735093	65881.7	63965.6	62795.4
Norway_Pelagic	NorthSea	Vancouver	0.00102256	0.443793	0.657192	0.000335455	284626	43540.8	43451.8
NorthSea	Norway_Pelagic	WhiteSea	0.00437052	1.90518	0.0567566	0.00174993	264849	46838.7	46431.1
UK	NorthSea	Vancouver	0.000857724	0.49484	0.620713	0.000276847	287788	43232	43157.9
UK	NorthSea	WhiteSea	0.00123983	0.855547	0.392248	0.000487212	268020	46288.5	46173.8
Vancouver	WhiteSea	NorthSea	0.201722	24.8326	0	0.0902715	242761	68710.8	45643
Norway_Costal	Norway_Pelagic	UK	0.0096024	4.30422	1.67579e-05	0.279531	65742.6	65433.6	64188.9
Norway_Pelagic	Norway_Costal	Vancouver	0.0147342	4.06107	4.88482e-05	0.004931	284047	45037.1	43729.2
Norway_Pelagic	Norway_Costal	WhiteSea	0.0143461	4.09554	4.2119e-05	0.00588475	264136	48382.3	47013.7
UK	Norway_Costal	Vancouver	0.0143729	4.77138	1.8297e-06	0.00481491	284454	45473	44184.4
UK	Norway_Costal	WhiteSea	0.0197311	6.52307	6.88821e-11	0.00807902	264686	49129.3	47228
Vancouver	WhiteSea	Norway_Costal	0.204792	27.4183	0	0.0985698	241881	69588.4	45931
Norway_Pelagic	UK	Vancouver	0.000329543	0.184261	0.853809	0.000109374	284460	44118.3	44089.2
UK	Norway_Pelagic	WhiteSea	0.00545972	2.74341	0.00608054	0.00221109	264689	47538.4	47022.1
Vancouver	WhiteSea	Norway_Pelagic	0.204827	24.9072	0	0.0915331	241278	68985.3	45529.6
Vancouver	WhiteSea	UK	0.200771	26.8941	0	0.0941473	243495	69001.8	45927.3
