Balsfjord	Canada_Spring	WhiteSea	97697.9	238913	57387.1	53419.5	182177	-626.791	234992	222488	140529
Balsfjord	Canada_Summer	Japan	107136	251289	36701.5	88885	197012	-1821.44	303522	267455	142407
Balsfjord	Canada_Summer	NorthSea	52089	53601.8	228555	192402	196788	140523	17500.2	20347.6	141997
Balsfjord	Canada_Summer	Norway_Costal	52317.8	55123.9	228456	176578	197083	139649	3243.6	20932.3	142443
Balsfjord	Canada_Summer	Norway_Pelagic	51668	53496.4	229008	192707	195646	139378	17262.4	18279.1	141184
Balsfjord	Canada_Summer	UK	52665.8	54032.8	228778	181660	197184	141129	6920.98	21066.5	142477
Balsfjord	Canada_Summer	Vancouver	108963	205620	46223.3	109065	197101	45552	268510	259752	142181
Balsfjord	Canada_Summer	WhiteSea	97577.2	240720	58085.7	53305	197345	-524.937	236001	236840	142659
Balsfjord	Japan	NorthSea	249321	106743	35759.7	192582	88916.1	140714	263543	302470	-1802.51
Balsfjord	Japan	Norway_Costal	248335	107037	36425.4	176767	89046.1	139787	247351	300933	-1510.43
Balsfjord	Japan	Norway_Pelagic	247795	106817	35779.2	192807	88311.4	139200	263884	300206	-1604.3
Balsfjord	Japan	UK	250042	107051	36009.1	181929	89071.6	141354	252955	303081	-1489.1
Balsfjord	Japan	Vancouver	94758.1	47476.6	115000	109032	89006.1	45413	41541.8	68742.1	-1841.79
Balsfjord	Japan	WhiteSea	71467.1	70354.9	121814	53360.1	89054.8	-833.79	1888.32	38685.8	-1900.8
Balsfjord	NorthSea	Norway_Costal	50301.2	51592.6	227926	176557	192504	139533	220.398	14906.3	140829
Balsfjord	NorthSea	Norway_Pelagic	49756.3	50081.4	228189	193098	191503	139449	15068.3	13010.9	139792
Balsfjord	NorthSea	UK	49612.2	49476.3	231120	181760	192847	141182	119.035	11305.3	141066
Balsfjord	NorthSea	Vancouver	108464	203582	45307.1	109045	192721	45440.5	267369	255836	140572
Balsfjord	NorthSea	WhiteSea	97134.8	238697	56973.3	53347.7	192873	-628.241	235121	232956	141120
Balsfjord	Norway_Costal	Norway_Pelagic	51481.7	50515.7	227750	192811	175744	139094	15712.3	-479.868	138152
Balsfjord	Norway_Costal	UK	52227.7	50794.4	228068	181751	176917	141233	4485.94	1097.22	139796
Balsfjord	Norway_Costal	Vancouver	109056	202893	45804.4	109062	176728	45664.3	266218	239973	139724
Balsfjord	Norway_Costal	WhiteSea	97403.3	237689	57744.5	53325.3	176867	-754.345	233333	216541	139558
Balsfjord	Norway_Pelagic	UK	50830.8	50375.9	228021	180859	193150	140112	3228.3	16084.7	139661
Balsfjord	Norway_Pelagic	Vancouver	108545	202455	45257.8	108250	193044	45438.4	265471	256381	139272
Balsfjord	Norway_Pelagic	WhiteSea	97082.4	237091	57181.5	52929.9	193164	-606.374	232880	233066	139500
Balsfjord	UK	Vancouver	108785	204226	45575.6	109249	181816	45720.7	267968	245021	141213
Balsfjord	UK	WhiteSea	97450.5	239432	57247.5	53418.7	182017	-625.93	235665	222207	141335
Balsfjord	Vancouver	WhiteSea	63994.1	110249	102837	53346.8	109165	-682.469	60792.4	70384.4	45542.4
Baltic_Autumn	Baltic_Spring	BarentSea	276406	45557.2	47395.8	264080	1499.28	232551	262229	230546	1620.91
Baltic_Autumn	Baltic_Spring	Canada_Autumn	64653.7	65607.8	63906.5	2809.07	1521.2	646.163	4506.62	2282.99	1590.64
Baltic_Autumn	Baltic_Spring	Canada_Spring	64547.5	65496.7	64141.4	2193.91	1519.16	648.133	3539.88	1929.1	1598.68
Baltic_Autumn	Baltic_Spring	Canada_Summer	70343.6	66928.4	65687.5	19769.9	1515.39	4995.11	21000.4	6184.9	1580.39
Baltic_Autumn	Baltic_Spring	Japan	293817	43952	45622.7	302407	1510.8	251593	300726	249725	1647.11
Baltic_Autumn	Baltic_Spring	NorthSea	65935.7	65617.4	63217.8	13948.7	1505.45	1893.11	16363.9	4254.38	1539.8
Baltic_Autumn	Baltic_Spring	Norway_Costal	66478.7	65378.4	64448.5	-58.8424	1507.05	2736.38	857.484	3534.39	1674.28
Baltic_Autumn	Baltic_Spring	Norway_Pelagic	65284.9	65305.3	64055.2	15042.8	1494.66	1570.08	16286.8	2723.99	1577.43
Baltic_Autumn	Baltic_Spring	UK	67015.2	65805	63566.9	3428.52	1518	2865.98	5675.96	4983.67	1629.79
Baltic_Autumn	Baltic_Spring	Vancouver	286002	43788.4	44999.7	267533	1520.84	243884	266317	242548	1572.82
Baltic_Autumn	Baltic_Spring	WhiteSea	265820	47004.8	48700	234499	1519.84	220550	232793	218665	1639.69
Baltic_Autumn	BarentSea	Canada_Autumn	45899.8	277706	45063.3	2807.94	264208	736.195	235445	265042	232532
Baltic_Autumn	BarentSea	Canada_Spring	45825.7	277627	45231.4	2195.52	264110	671.967	234608	264700	232494
Baltic_Autumn	BarentSea	Canada_Summer	49176.4	276094	47269.2	19780.7	263638	4890.18	248589	265549	231854
Baltic_Autumn	BarentSea	Japan	51227	32208.4	310134	302084	263726	251510	24168.1	4977.66	232439
Baltic_Autumn	BarentSea	NorthSea	46102.8	276297	45124.3	13724.5	263670	2000.95	244633	264650	232183
Baltic_Autumn	BarentSea	Norway_Costal	46177.5	275569	47031.6	-37.4596	264031	2715.31	228473	263199	232177
Baltic_Autumn	BarentSea	Norway_Pelagic	46096	275478	45498.3	15311.3	261548	1641.74	245278	262103	231023
Baltic_Autumn	BarentSea	UK	46744	276387	45623.4	3413.65	263949	2908.4	234176	265047	232642
Baltic_Autumn	BarentSea	Vancouver	55840.1	44410.1	252856	267183	263543	243714	58677.3	66582.4	232237
